date,composite,display_score,regime_raw,regime_confirmed,comp_1m_chg,comp_3m_chg,comp_6m_chg,comp_12m_chg,comp_trend_6m,pctile_expanding,direction_flag,streak_months,warning,months_in_regime,dist_to_upgrade,dist_to_downgrade,diffusion,top_drag,top_support,regime_change_watch,breadth_check,comp_expanding_std,comp_rolling_std_10y,curve_env,usrec
2003-06-30,0.5114,3.5114,Expansion,N/A,,,,,,100.0,,42,,42,,0.1614,0.7692,inflation,liquidity,False,,,,,0
2003-07-31,0.8544,3.8544,Expansion,Expansion,0.343,,,,,100.0,,43,,1,,0.5044,0.8462,inflation,growth,False,,,,bear_steepening,0
2003-08-31,0.6882,3.6882,Expansion,Expansion,-0.1662,,,,,66.6667,,44,,2,,0.3382,0.8462,inflation,credit,False,,,,bear_steepening,0
2003-09-30,0.7211,3.7211,Expansion,Expansion,0.0329,0.2097,,,,75.0,improving,1,,3,,0.3711,0.8462,inflation,credit,False,,,,bear_steepening,0
2003-10-31,0.8661,3.8661,Expansion,Expansion,0.145,0.0118,,,,100.0,flat,1,,4,,0.5161,0.7692,inflation,growth,False,,,,flattening,0
2003-11-30,0.772,3.772,Expansion,Expansion,-0.0941,0.0839,,,0.7355,66.6667,flat,2,,5,,0.422,0.7692,inflation,stress,False,,,,flattening,0
2003-12-31,0.81,3.81,Expansion,Expansion,0.0379,0.0889,0.2986,,0.7853,71.4286,flat,3,,6,,0.46,0.7692,inflation,credit,False,narrow,,,,0
2004-01-31,0.875,3.875,Expansion,Expansion,0.0651,0.0089,0.0207,,0.7887,100.0,flat,4,,7,,0.525,0.9231,inflation,stress,False,,,,,0
2004-02-29,0.8563,3.8563,Expansion,Expansion,-0.0188,0.0842,0.1681,,0.8168,77.7778,flat,5,,8,,0.5063,0.8462,inflation,stress,False,,,,,0
2004-03-31,0.774,3.774,Expansion,Expansion,-0.0823,-0.036,0.0529,,0.8256,50.0,flat,6,,9,,0.424,0.8462,inflation,growth,False,,,,,0
2004-04-30,0.9919,3.9919,Expansion,Expansion,0.2179,0.1168,0.1257,,0.8465,100.0,improving,1,,10,,0.6419,0.8462,inflation,growth,False,,,,,0
2004-05-31,0.8994,3.8994,Expansion,Expansion,-0.0925,0.0431,0.1273,,0.8677,91.6667,flat,1,,11,,0.5494,0.9231,inflation,growth,False,,,,flattening,0
