date,indicator,pillar,raw_value,z_score,z_3m_chg,z_6m_chg,z_12m_chg,z_trend_6m,pctile_expanding,direction_flag,streak_months,warning,expanding_mean_raw,expanding_std_raw
2002-02-28,g_nfp,growth,-135.6667,-0.7322,,,,,100.0,,26,,-3.7014,180.221
2002-03-31,g_nfp,growth,-87.0,-0.4513,,,,,100.0,,27,,-7.0333,177.2113
2002-04-30,g_nfp,growth,-81.0,-0.4082,,,,,100.0,,28,,-9.8782,174.2358
2002-05-31,g_nfp,growth,-35.0,-0.1415,0.5907,,,,100.0,improving,1,,-10.8086,170.9206
2002-06-30,g_nfp,growth,-16.0,-0.0298,0.4214,,,,100.0,improving,2,,-10.994,167.7284
2002-07-31,g_nfp,growth,-10.6667,0.0019,0.4101,,,-0.2935,100.0,improving,3,,-10.9828,164.7061
2002-08-31,g_nfp,growth,-17.0,-0.0359,0.1056,0.6963,,-0.1775,71.4286,improving,4,improvement,-11.1833,161.8451
2002-09-30,g_nfp,growth,-57.3333,-0.2803,-0.2504,0.171,,-0.149,50.0,deteriorating,1,,-12.672,159.3406
2002-10-31,g_nfp,growth,11.0,0.1462,0.1443,0.5544,,-0.0566,100.0,improving,1,,-11.9323,156.8053
2002-11-30,g_nfp,growth,11.6667,0.1482,0.1842,0.2898,,-0.0083,100.0,improving,2,,-11.2172,154.3905
2002-12-31,g_nfp,growth,-12.3333,-0.0071,0.2732,0.0227,,-0.0045,72.7273,improving,3,,-11.25,152.0333
2003-01-31,g_nfp,growth,-14.6667,-0.0222,-0.1684,-0.0241,,-0.0085,66.6667,deteriorating,1,,-11.3476,149.782
2003-02-28,g_nfp,growth,-58.3333,-0.309,-0.4572,-0.2731,0.4232,-0.054,30.7692,deteriorating,2,,-12.6528,147.8343
2003-03-31,g_nfp,growth,-76.6667,-0.4262,-0.419,-0.1459,0.0251,-0.0783,21.4286,deteriorating,3,,-14.3829,146.146
2003-04-30,g_nfp,growth,-133.3333,-0.7963,-0.7742,-0.9426,-0.3881,-0.2354,6.6667,deteriorating,4,deterioration,-17.5132,145.4432
2003-05-31,g_nfp,growth,-81.3333,-0.4322,-0.1232,-0.5804,-0.2907,-0.3322,25.0,deteriorating,5,deterioration,-19.1496,143.8801
2003-06-30,g_nfp,growth,-16.3333,0.0193,0.4455,0.0265,0.0492,-0.3278,88.2353,improving,1,,-19.0792,142.0242
2003-07-31,g_nfp,growth,3.6667,0.1582,0.9545,0.1803,0.1563,-0.2977,100.0,improving,2,,-18.5244,140.2827
2003-08-31,g_nfp,growth,-14.6667,0.0272,0.4594,0.3362,0.0631,-0.2417,84.2105,improving,3,improvement,-18.4325,138.5626
2003-09-30,g_nfp,growth,22.0,0.2882,0.2688,0.7144,0.5685,-0.1226,100.0,improving,4,improvement,-17.4922,137.0419
2003-10-31,g_nfp,growth,85.0,0.7348,0.5766,1.5311,0.5885,0.1326,100.0,improving,5,improvement,-15.1629,136.3176
2003-11-30,g_nfp,growth,109.0,0.8925,0.8653,1.3247,0.7443,0.3534,100.0,improving,6,improvement,-12.4037,136.0248
2003-12-31,g_nfp,growth,112.3333,0.8989,0.6107,0.8795,0.906,0.4999,100.0,improving,7,improvement,-9.692,135.7564
2004-01-31,g_nfp,growth,105.6667,0.8343,0.0996,0.6761,0.8565,0.6126,91.6667,flat,1,,-7.2376,135.3229
2004-02-29,g_nfp,growth,113.6667,0.8769,-0.0156,0.8497,1.1859,0.7543,92.0,flat,2,,-4.7188,135.0082
2004-03-31,g_nfp,growth,183.6667,1.3541,0.4553,1.066,1.7803,0.9319,100.0,improving,1,,-0.8741,136.2782
2004-04-30,g_nfp,growth,218.6667,1.5545,0.7201,0.8197,2.3508,1.0685,100.0,improving,2,,3.5167,138.4077
2004-05-31,g_nfp,growth,292.0,1.9799,1.103,1.0874,2.4121,1.2498,100.0,improving,3,improvement,9.1732,142.8474
2004-06-30,g_nfp,growth,218.0,1.4186,0.0645,0.5198,1.3993,1.3364,93.1034,flat,1,,13.1891,144.3742
2004-07-31,g_nfp,growth,147.3333,0.913,-0.6415,0.0786,0.7548,1.3495,86.6667,deteriorating,1,,15.7201,144.1616
2004-08-31,g_nfp,growth,80.6667,0.4455,-1.5344,-0.4313,0.4184,1.2776,67.7419,deteriorating,2,,16.9228,143.0684
2004-09-30,g_nfp,growth,98.3333,0.5622,-0.8564,-0.7919,0.2741,1.1456,68.75,deteriorating,3,deterioration,18.403,142.162
2004-10-31,g_nfp,growth,191.6667,1.192,0.2791,-0.3624,0.4573,1.0852,87.8788,improving,1,,21.497,142.7538
2004-11-30,g_nfp,growth,188.0,1.1425,0.6969,-0.8374,0.25,0.9456,85.2941,improving,2,,24.4181,143.1821
2004-12-31,g_nfp,growth,180.3333,1.0686,0.5064,-0.35,0.1698,0.8873,82.8571,improving,3,,27.1063,143.3896
2005-01-31,g_nfp,growth,117.3333,0.6219,-0.5702,-0.2911,-0.2125,0.8388,63.8889,deteriorating,1,,28.6356,142.6326
2005-02-28,g_nfp,growth,177.0,1.0223,-0.1202,0.5767,0.1454,0.9349,81.0811,deteriorating,2,,31.1083,142.7099
2005-03-31,g_nfp,growth,174.6667,0.9895,-0.0791,0.4272,-0.3647,1.0061,78.9474,flat,1,,33.4617,142.7044
2005-04-30,g_nfp,growth,246.3333,1.4535,0.8317,0.2615,-0.1009,1.0497,94.8718,improving,1,,36.8952,144.0887
2005-05-31,g_nfp,growth,218.3333,1.2337,0.2114,0.0912,-0.7463,1.0649,87.5,improving,2,,39.7751,144.7385
2005-06-30,g_nfp,growth,264.6667,1.5131,0.5236,0.4445,0.0944,1.139,95.122,improving,3,improvement,43.2891,146.3112
2005-07-31,g_nfp,growth,260.0,1.4453,-0.0082,0.8235,0.5324,1.2762,90.4762,flat,1,,46.6231,147.6313
2005-08-31,g_nfp,growth,271.0,1.4824,0.2487,0.4601,1.0368,1.3529,93.0233,improving,1,,50.0227,149.0721
2005-09-30,g_nfp,growth,201.3333,0.9998,-0.5133,0.0103,0.4375,1.3546,70.4545,deteriorating,1,,52.2811,149.0889
2005-10-31,g_nfp,growth,113.6667,0.4082,-1.0371,-1.0453,-0.7838,1.1804,46.6667,deteriorating,2,,53.1838,148.1592
2005-11-30,g_nfp,growth,165.0,0.7462,-0.7362,-0.4875,-0.3963,1.0992,56.5217,deteriorating,3,deterioration,54.8043,147.6806
2005-12-31,g_nfp,growth,202.3333,0.9848,-0.0149,-0.5282,-0.0838,1.0111,68.0851,flat,1,,56.9119,147.6631
2006-01-31,g_nfp,growth,262.0,1.3606,0.9524,-0.0847,0.7387,0.997,85.4167,improving,1,,59.8005,148.6113
2006-02-28,g_nfp,growth,245.3333,1.2265,0.4803,-0.2559,0.2042,0.9543,79.5918,improving,2,,62.3773,149.1722
2006-03-31,g_nfp,growth,293.0,1.5107,0.5258,0.5109,0.5212,1.0395,94.0,improving,3,improvement,65.5365,150.5718
2006-04-30,g_nfp,growth,261.0,1.2748,-0.0858,0.8666,-0.1787,1.1839,80.3922,flat,1,,68.1779,151.2534
2006-05-31,g_nfp,growth,172.0,0.6797,-0.5468,-0.0665,-0.5539,1.1729,48.0769,deteriorating,1,,69.5622,150.7055
2006-06-30,g_nfp,growth,99.6667,0.1984,-1.3123,-0.7864,-1.3147,1.0418,37.7358,deteriorating,2,,69.9583,149.7373
2006-07-31,g_nfp,growth,106.3333,0.2413,-1.0336,-1.1193,-1.2041,0.8552,38.8889,deteriorating,3,deterioration,70.4307,148.8067
2006-08-31,g_nfp,growth,147.6667,0.5148,-0.1649,-0.7116,-0.9675,0.7366,45.4545,deteriorating,4,deterioration,71.4209,148.0957
2006-09-30,g_nfp,growth,163.0,0.613,0.4146,-0.8977,-0.3868,0.587,48.2143,improving,1,,72.5802,147.5036
2006-10-31,g_nfp,growth,104.6667,0.2161,-0.0252,-1.0587,-0.1921,0.4106,36.8421,flat,1,,72.9812,146.6109
2006-11-30,g_nfp,growth,122.6667,0.3366,-0.1783,-0.3431,-0.4096,0.3534,41.3793,deteriorating,1,,73.5947,145.7963
2006-12-31,g_nfp,growth,141.0,0.4589,-0.1541,0.2605,-0.5259,0.3968,45.7627,deteriorating,2,,74.4167,145.0846
2007-01-31,g_nfp,growth,209.6667,0.9218,0.7057,0.6805,-0.4388,0.5102,66.6667,improving,1,,76.0462,144.9594
2007-02-28,g_nfp,growth,166.6667,0.62,0.2834,0.1052,-0.6065,0.5277,50.8197,improving,2,,77.125,144.4224
2007-03-31,g_nfp,growth,178.3333,0.6947,0.2357,0.0817,-0.816,0.5413,54.8387,improving,3,,78.3157,143.9792
2007-04-30,g_nfp,growth,125.0,0.3222,-0.5996,0.1061,-0.9527,0.559,38.0952,deteriorating,1,,78.8585,143.2183
2007-05-31,g_nfp,growth,144.0,0.4517,-0.1683,0.1151,-0.228,0.5782,43.75,deteriorating,2,,79.6073,142.5544
2007-06-30,g_nfp,growth,95.3333,0.1097,-0.585,-0.3492,-0.0887,0.52,26.1538,deteriorating,3,deterioration,79.786,141.7426
2007-07-31,g_nfp,growth,65.6667,-0.0991,-0.4212,-1.0208,-0.3403,0.3499,15.1515,deteriorating,4,deterioration,79.6273,140.9429
2007-08-31,g_nfp,growth,7.0,-0.5117,-0.9634,-1.1317,-1.0265,0.1612,4.4776,deteriorating,5,deterioration,78.8204,140.3578
2007-09-30,g_nfp,growth,9.6667,-0.4894,-0.599,-1.184,-1.1024,-0.0361,5.8824,deteriorating,6,deterioration,78.0604,139.764
2007-10-31,g_nfp,growth,43.6667,-0.2447,-0.1456,-0.5669,-0.4608,-0.1306,15.942,deteriorating,7,deterioration,77.6866,139.0402
2007-11-30,g_nfp,growth,92.3333,0.1048,0.6165,-0.3469,-0.2318,-0.1884,30.0,improving,1,,77.8441,138.2908
2007-12-31,g_nfp,growth,98.6667,0.1498,0.6391,0.0401,-0.3092,-0.1817,35.2113,improving,2,,78.0656,137.5621
2008-01-31,g_nfp,growth,72.0,-0.0439,0.2008,0.0552,-0.9656,-0.1725,19.4444,improving,3,,78.0018,136.8298
2008-02-29,g_nfp,growth,13.0,-0.472,-0.5768,0.0397,-1.092,-0.1659,6.8493,deteriorating,1,,77.3247,136.2693
2008-03-31,g_nfp,growth,-45.3333,-0.8918,-1.0415,-0.4024,-1.5864,-0.233,1.3514,deteriorating,2,,76.0601,136.1286
2008-04-30,g_nfp,growth,-117.0,-1.3966,-1.3528,-1.152,-1.7188,-0.425,1.3333,deteriorating,3,deterioration,74.0901,136.8221
2008-05-31,g_nfp,growth,-159.3333,-1.6728,-1.2008,-1.7776,-2.1245,-0.7212,1.3158,deteriorating,4,deterioration,71.7323,138.1291
2008-06-30,g_nfp,growth,-186.3333,-1.8271,-0.9353,-1.9768,-1.9368,-1.0507,1.2987,deteriorating,5,deterioration,69.1517,139.8317
2008-07-31,g_nfp,growth,-181.0,-1.7523,-0.3557,-1.7085,-1.6533,-1.3354,2.5641,deteriorating,6,deterioration,66.6749,141.3398
2008-08-31,g_nfp,growth,-213.3333,-1.9342,-0.2614,-1.4622,-1.4225,-1.5791,1.2658,deteriorating,7,deterioration,63.9297,143.3451
2008-09-30,g_nfp,growth,-313.3333,-2.5345,-0.7074,-1.6428,-2.0452,-1.8529,1.25,deteriorating,8,deterioration,60.267,147.4048
2008-10-31,g_nfp,growth,-402.0,-2.9819,-1.2296,-1.5853,-2.7373,-2.1172,1.2346,deteriorating,9,deterioration,55.8221,153.5316
2008-11-30,g_nfp,growth,-556.6667,-3.0,-1.0658,-1.3272,-3.1048,-2.3384,1.2195,deteriorating,10,deterioration,49.9889,164.0673
2008-12-31,g_nfp,growth,-637.6667,-3.0,-0.4655,-1.1729,-3.1498,-2.5338,2.4096,deteriorating,11,deterioration,43.5016,176.4164
2009-01-31,g_nfp,growth,-737.3333,-3.0,-0.0181,-1.2477,-2.9561,-2.7418,3.5714,flat,1,,36.204,191.1212
2009-02-28,g_nfp,growth,-741.0,-3.0,0.0,-1.0658,-2.528,-2.9194,4.7059,flat,2,,29.0077,204.399
2009-03-31,g_nfp,growth,-784.3333,-3.0,0.0,-0.4655,-2.1082,-2.997,5.814,flat,3,,21.5459,217.8557
2009-04-30,g_nfp,growth,-752.3333,-3.0,0.0,-0.0181,-1.6034,-3.0,6.8966,flat,4,,14.5106,229.0636
2009-05-31,g_nfp,growth,-617.3333,-2.6557,0.3443,0.3443,-0.9829,-2.9426,9.0909,improving,1,,8.8183,235.7749
2009-06-30,g_nfp,growth,-495.3333,-2.0863,0.9137,0.9137,-0.2592,-2.7903,11.236,improving,2,,4.317,239.496
2009-07-31,g_nfp,growth,-386.6667,-1.6064,1.3936,1.3936,0.146,-2.5581,16.6667,improving,3,improvement,0.8569,241.2448
2009-08-31,g_nfp,growth,-331.3333,-1.3596,1.2961,1.6404,0.5746,-2.2847,18.6813,improving,4,improvement,-2.057,242.1817
2009-09-30,g_nfp,growth,-254.0,-1.0309,1.0553,1.9691,1.5036,-1.9565,19.5652,improving,5,improvement,-4.2478,242.2591
2009-10-31,g_nfp,growth,-200.3333,-0.8037,0.8027,2.1963,2.1783,-1.5904,21.5054,improving,6,improvement,-5.9382,241.8896
2009-11-30,g_nfp,growth,-138.3333,-0.5443,0.8153,2.1114,2.4557,-1.2385,24.4681,improving,7,improvement,-7.0698,241.1555
2009-12-31,g_nfp,growth,-146.0,-0.5729,0.4581,1.5134,2.4271,-0.9863,24.2105,improving,8,improvement,-8.2472,240.4631
2010-01-31,g_nfp,growth,-86.3333,-0.3232,0.4804,1.2831,2.6768,-0.7724,33.3333,improving,9,improvement,-8.9034,239.549
2010-02-28,g_nfp,growth,-117.0,-0.449,0.0953,0.9106,2.551,-0.6207,29.8969,flat,1,,-9.8042,238.7444
2010-03-31,g_nfp,growth,19.3333,0.1215,0.6944,1.1525,3.1215,-0.4286,50.0,improving,1,,-9.5634,237.7623
2010-04-30,g_nfp,growth,106.0,0.4836,0.8068,1.2872,3.4836,-0.214,64.6465,improving,2,,-8.6161,237.0088
2010-05-31,g_nfp,growth,312.0,1.3373,1.7863,1.8816,3.993,0.0996,90.0,improving,3,improvement,-6.0095,237.7992
2010-06-30,g_nfp,growth,214.6667,0.9211,0.7995,1.4939,3.0073,0.3485,78.2178,improving,4,improvement,-4.2298,237.6582
2010-07-31,g_nfp,growth,98.3333,0.4295,-0.0541,0.7528,2.0359,0.474,59.8039,flat,1,,-3.4093,236.8757
2010-08-31,g_nfp,growth,-75.6667,-0.3037,-1.641,0.1453,1.0559,0.4982,33.9806,deteriorating,1,,-3.9828,236.0141
2010-09-30,g_nfp,growth,-56.3333,-0.2209,-1.142,-0.3424,0.81,0.4411,36.5385,deteriorating,2,,-4.395,235.1216
2010-10-31,g_nfp,growth,68.3333,0.308,-0.1215,-0.1756,1.1117,0.4119,57.1429,deteriorating,3,,-3.8268,234.2823
2010-11-30,g_nfp,growth,111.3333,0.4892,0.7929,-0.8481,1.0335,0.2705,65.0943,improving,1,,-2.9341,233.5855
2010-12-31,g_nfp,growth,163.0,0.7063,0.9272,-0.2148,1.2791,0.2347,71.9626,improving,2,,-1.6577,233.133
2011-01-31,g_nfp,growth,72.3333,0.3161,0.008,-0.1135,0.6393,0.2158,56.4815,flat,1,,-1.0929,232.3246
2011-02-28,g_nfp,growth,102.6667,0.4446,-0.0446,0.7483,0.8936,0.3405,60.5505,flat,2,,-0.3068,231.6123
2011-03-31,g_nfp,growth,151.0,0.6498,-0.0565,0.8707,0.5282,0.4857,70.0,flat,3,,0.8308,231.106
2011-04-30,g_nfp,growth,253.3333,1.0837,0.7676,0.7757,0.6001,0.6149,85.5856,improving,1,,2.7152,231.2666
2011-05-31,g_nfp,growth,215.3333,0.9131,0.4685,0.4239,-0.4242,0.6856,78.5714,improving,2,,4.2901,231.1276
2011-06-30,g_nfp,growth,216.0,0.9098,0.26,0.2035,-0.0112,0.7195,76.9912,improving,3,,5.8468,230.9844
2011-07-31,g_nfp,growth,131.6667,0.5421,-0.5415,0.2261,0.1126,0.7572,64.0351,deteriorating,1,,6.7652,230.3846
2011-08-31,g_nfp,growth,140.6667,0.5784,-0.3347,0.1338,0.8821,0.7795,65.2174,deteriorating,2,,7.7355,229.8251
2011-09-30,g_nfp,growth,137.6667,0.5627,-0.3471,-0.0871,0.7836,0.765,64.6552,deteriorating,3,,8.6703,229.2559
2011-10-31,g_nfp,growth,187.0,0.7734,0.2313,-0.3103,0.4654,0.7133,73.5043,improving,1,,9.944,228.9264
2011-11-30,g_nfp,growth,188.3333,0.7748,0.1964,-0.1383,0.2856,0.6902,73.7288,improving,2,,11.2092,228.6015
2011-12-31,g_nfp,growth,181.3333,0.7401,0.1775,-0.1697,0.0339,0.6619,71.4286,improving,3,,12.4073,228.2364
2012-01-31,g_nfp,growth,231.0,0.9513,0.1779,0.4092,0.6353,0.7301,81.6667,improving,4,improvement,13.9359,228.1647
2012-02-29,g_nfp,growth,273.0,1.1264,0.3516,0.548,0.6818,0.8215,86.7769,improving,5,improvement,15.735,228.3882
2012-03-31,g_nfp,growth,286.6667,1.1765,0.4363,0.6138,0.5267,0.9238,87.7049,improving,6,improvement,17.6034,228.7032
2012-04-30,g_nfp,growth,193.0,0.7628,-0.1886,-0.0107,-0.3209,0.922,70.7317,deteriorating,1,,18.8048,228.375
2012-05-31,g_nfp,growth,141.0,0.5327,-0.5937,-0.2421,-0.3804,0.8816,58.871,deteriorating,2,,19.6361,227.8146
2012-06-30,g_nfp,growth,88.3333,0.3004,-0.876,-0.4397,-0.6094,0.8084,48.0,deteriorating,3,deterioration,20.1002,227.1086
2012-07-31,g_nfp,growth,110.6667,0.3972,-0.3655,-0.5541,-0.1449,0.716,51.5873,deteriorating,4,deterioration,20.7081,226.4616
2012-08-31,g_nfp,growth,135.6667,0.5055,-0.0272,-0.6209,-0.0729,0.6125,58.2677,flat,1,,21.4744,225.8955
2012-09-30,g_nfp,growth,168.0,0.6456,0.3452,-0.5309,0.0829,0.524,65.625,improving,1,,22.4448,225.4568
2012-10-31,g_nfp,growth,170.6667,0.6543,0.2571,-0.1084,-0.1191,0.506,66.6667,improving,2,,23.42,225.0304
2012-11-30,g_nfp,growth,162.0,0.6131,0.1076,0.0803,-0.1618,0.5194,63.0769,improving,3,,24.3257,224.5686
2012-12-31,g_nfp,growth,185.6667,0.7149,0.0693,0.4145,-0.0252,0.5884,69.4656,flat,1,,25.3734,224.2108
2013-01-31,g_nfp,growth,196.0,0.7571,0.1028,0.3599,-0.1942,0.6484,71.9697,improving,1,,26.4742,223.9015
2013-02-28,g_nfp,growth,240.3333,0.9493,0.3363,0.4438,-0.1771,0.7224,81.203,improving,2,,27.8451,223.8339
2013-03-31,g_nfp,growth,205.0,0.7874,0.0724,0.1418,-0.3891,0.746,73.8806,flat,1,,28.9735,223.5629
2013-04-30,g_nfp,growth,205.3333,0.7848,0.0277,0.1305,0.0221,0.7678,73.3333,flat,2,,30.0897,223.291
2013-05-31,g_nfp,growth,183.3333,0.6831,-0.2662,0.0701,0.1504,0.7795,65.4412,deteriorating,1,,31.0535,222.9148
2013-06-30,g_nfp,growth,196.6667,0.7394,-0.048,0.0244,0.4389,0.7835,68.6131,flat,1,,32.0885,222.5981
2013-07-31,g_nfp,growth,172.6667,0.6288,-0.156,-0.1283,0.2316,0.7621,61.5942,deteriorating,1,,32.9617,222.1778
2013-08-31,g_nfp,growth,183.3333,0.6738,-0.0094,-0.2755,0.1683,0.7162,64.0288,flat,1,,33.8899,221.8016
2013-09-30,g_nfp,growth,180.6667,0.6588,-0.0805,-0.1285,0.0132,0.6948,63.5714,flat,2,,34.7904,221.4146
2013-10-31,g_nfp,growth,216.6667,0.8172,0.1884,0.0324,0.1629,0.7002,75.1773,improving,1,,35.8994,221.1908
2013-11-30,g_nfp,growth,223.6667,0.8445,0.1707,0.1613,0.2314,0.7271,76.0563,improving,2,,37.0374,220.9993
2013-12-31,g_nfp,growth,183.6667,0.6606,0.0018,-0.0787,-0.0543,0.714,62.9371,flat,1,,37.9207,220.6224
2014-01-31,g_nfp,growth,173.3333,0.6113,-0.206,-0.0175,-0.1459,0.711,56.25,deteriorating,1,,38.7315,220.2063
2014-02-28,g_nfp,growth,131.6667,0.4206,-0.4239,-0.2532,-0.5288,0.6688,46.2069,deteriorating,2,,39.2847,219.663
2014-03-31,g_nfp,growth,204.3333,0.7479,0.0873,0.0891,-0.0395,0.6837,70.5479,flat,1,,40.2613,219.376
2014-04-30,g_nfp,growth,245.6667,0.9312,0.3199,0.1139,0.1463,0.7027,82.3129,improving,1,,41.4696,219.2926
2014-05-31,g_nfp,growth,267.0,1.0223,0.6017,0.1778,0.3391,0.7323,85.8108,improving,2,,42.7885,219.3258
2014-06-30,g_nfp,growth,288.0,1.1107,0.3628,0.4501,0.3714,0.8073,87.9195,improving,3,improvement,44.2141,219.4814
2014-07-31,g_nfp,growth,258.0,0.9686,0.0374,0.3573,0.3398,0.8669,82.6667,flat,1,,45.4499,219.4452
2014-08-31,g_nfp,growth,252.0,0.9362,-0.0861,0.5156,0.2624,0.9528,80.7947,flat,2,,46.637,219.3696
2014-09-30,g_nfp,growth,238.0,0.868,-0.2428,0.1201,0.2091,0.9728,74.3421,deteriorating,1,,47.7305,219.2162
2014-10-31,g_nfp,growth,242.0,0.8817,-0.0869,-0.0494,0.0645,0.9646,75.1634,flat,1,,48.8343,219.0789
2014-11-30,g_nfp,growth,273.3333,1.0188,0.0827,-0.0035,0.1743,0.964,85.0649,flat,2,,50.1026,219.1064
2014-12-31,g_nfp,growth,267.0,0.9844,0.1165,-0.1263,0.3238,0.9429,82.5806,improving,1,,51.3212,219.0905
2015-01-31,g_nfp,growth,256.6667,0.9324,0.0506,-0.0362,0.3211,0.9369,79.4872,flat,1,,52.4683,219.0127
2015-02-28,g_nfp,growth,246.0,0.8793,-0.1395,-0.0569,0.4587,0.9274,73.2484,deteriorating,1,,53.5435,218.8759
2015-03-31,g_nfp,growth,186.3333,0.6044,-0.38,-0.2636,-0.1435,0.8835,51.8987,deteriorating,2,,54.2772,218.4902
2015-04-30,g_nfp,growth,209.3333,0.7067,-0.2256,-0.175,-0.2244,0.8543,62.2642,deteriorating,3,,55.1291,218.1887
2015-05-31,g_nfp,growth,237.0,0.8297,-0.0496,-0.1891,-0.1926,0.8228,70.625,flat,1,,56.123,218.0034
